type,signature,slot,timestamp,index,mint,fromUserAccount,fromTokenAccount,toUserAccount,toTokenAccount,tokenAmount
NFT_MINT,47U8MBxGa1VPaaSQFDWAXdh45ggqAuAiM53gpuYVt6Hkf2fA7WJofx7S3L7kEZvRstBxmXL3ZKVjuFF5VJPsmebU,167234545,1671204426,0,2eKZXByviLsa8joN1qE3tFrVaFWmgntF3FKyPWBSvEDX,fromUserAccount,fromTokenAccount,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,6GvgZ6UUTgs6ABvZCwztSWB5h4E9xaUkkRfLRJmZP1xV,1
NFT_MINT,5avr4jhCaMvAewRufpzsPH9BKpytxEQXZuEqGHsPGFwu17472qwhzR2w6nA7P6wNSrb9y5dy2DHRnPuLpPHqM1XM,167432144,1671293538,0,4915UPHGbJyqciNpfGdjFmzA4vHw5ahE5B5vGY9rLMYj,fromUserAccount,fromTokenAccount,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,B3nuE9xvgMd9xH8iDnuH5sqfySuiUFvZMib8W67pKopC,1
NFT_MINT,5MFLbEiPHo6E3oKrTPZrgZoFDha6GWiHr5uKArdYsSBpxLWyU4FqD6bVVWWDcMJCiMZVETrkt889kvBgTHygb4gD,167238184,1671206087,0,HSDoMjMHdEi6M4iB7fRsSCyazhWF1w1nKyU11vmR47QF,fromUserAccount,fromTokenAccount,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,DHjxjGqg3Q24ZyduN1iwxsk4fCYwTSHoGKJi7yvwjXUN,1
NFT_MINT,5YJiUBELViHLHyHp3wUNyXDXz8eHbaiAVkVUnUZLtMTrop94vSJDTmepSdKVnoyfszS8qr8JPPUjirQJnHkDVei4,167246820,1671210114,0,HRoZLrg1GfV6njsw5cSyACCr27k3DKREMcosf5PraEkj,fromUserAccount,fromTokenAccount,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,8ZTHuxH7sxQt2C1ohV93coLAzSDvC7tAZerEsmCwVK7a,1
TRANSFER,211CQ5tGH9nemtu2P4wLqrRKw8tkGWJbu7UqpiXQp31Qdocf2j3Bzqgtb7nPQ2zZwamvJzTpmNCpyhk4Uxuk1ikF,167240162,1671207008,0,NTRNt4MmibcfkRHww3Y4WXRwFkXWxLvFXhBJ27YUbVN,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,5bFTsp3qnUDqfE4fK8ga5SvX14mxHxW3Wacz7hx12Epa,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,6sNzHvtyNtxdaCksbk4vpEqzPRsbjeZTPpcnqsxpiB5P,17.596
TRANSFER,2ccXwqYtVwQaZ5DqTNMzUCiccdYNJPXnugxqRZYEsm9XbjA16Je4JpHtUP8N2GkSGVmZadRooKrxS6YxmRTcw8Ac,167240745,1671207268,0,CtSv7dnn6UqcReVKMDu5Fi6aWfn4hFBvQPUcoFHG6fRL,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,741adhmqyFTPTiPZTt7hYy9SJcNKQp79JKvU8BZeYjPb,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,9fGY4uGWgx3TtofwJJxkzRsMWcWD1bJ4eCfUtTQnjjrD,1
TRANSFER,2fhELpXY7w12CUJYDAxgho4NMwEn4GvqbRPyDYhM83RaKqSGMfzZKuue5XUtuv9SiPv48kbmi2U6CKV65vhNZYcq,167241696,1671207699,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,F4bqfgTFsmhWPPHD117wTEHcbb3596ES9syQvUP3DTCQ,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,0.00001
TRANSFER,2ieWGXu65PCLwwzD5FHEUH8mECu925Vp1LrfaGLRD7RxBpxc2uuH9YiPKA7KXXa2L4MUVqDjHrVS7h1whWpkm242,167239877,1671206863,0,31tCNEE6LiL9yW4Bu153Dq4vi2GuorXxCA9pW9aA6ecU,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,3HrJ78G8qVpAA6KiLdar2bvYNSvgpokAgCTxWkBBheuU,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2aTSd9HwaH1KncjNex3Hu1Eh1tWHhauxtaCFKvxzGx5n,8659.073600438
TRANSFER,3D85krtWZZ34MkjiNG9DmueHhiE2rjfeVLVmN2TQJYNH82TG2vzcnQfFcsVasxQZ9gTYBATp6XNn1RvnRg8W5gTP,167241569,1671207641,0,CCyZgHG6sDKwoJZtnouypVyWnQx1yWvhgqyGWY1aWW6m,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,BeePJYXji3874WQVJvXWr9Wz7PCG1woN5XzoRXDJaxMu,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,5aCNcw3KwzyG7219JtATSpxwydKD7pHnZoZhjyenWM9v,1
TRANSFER,3dGNY2qBmBS1qtK1nfZPCHY7fFg6A4BLXKhs9NxeT25fQeny78k8gBDL1pVLnKvx46Ppn3ANpBVLTSZLtgRcYrDe,167240660,1671207231,0,9vobiceomFpfH3SKh5oTWgNKnGzF7i4ZLrZCwSsR7YF1,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,HjoWES6rfoyju9MF7dpHsyZBvCUyjdNAdf5rkCPcr7W8,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,9cs7StRDKm3Auand5khj8d48ac6cqCfPnbFTTPyxLatn,1
TRANSFER,3eMjHAFKqM8f2mEmpMvgTZayHT6TGA7K3Uo77bZP6b4T847yMaMLhFrffxr2JSjb9hDjtiERYB7vfjJLm4AUovBL,167241135,1671207449,0,993dVFL2uXWYeoXuEBFXR4BijeXdTv4s6BzsCjJZuwqk,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,ChtUsRhB2quhsNR3YGmv7szhjv4rhaLyfFNbWP7WEY2A,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,BUcz8wqrbJkSNusLCWL3v7BbX1hodMuTi4faaMkhA32V,0.005797
TRANSFER,3HjtWhA5nvbB1R6jE4XUxqQK3Tez3TMNZjwwmXhuMgbA8HMpSVtSRw3k6D9mScRY5p43e3ZMJeAxfBM1axoJFeCG,167241943,1671207815,0,UXPhBoR3qG4UCiGNJfV7MqhHyFqKN68g45GoYvAeL2M,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,DmDZSkQKDkZ7dtMT3f6tKC6XKqx8gQXjo4dPvM2P8rVT,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2Y2BqeWQJ6Ak1Tjohiak3zPjpJGFuCVf1R528Teejp6x,0.1
TRANSFER,41uKVBupaoYRdnH2Aj1dccB1AwvQuQUvrznG4zgUJQ3eF96EzruZVngWxVcnLtoTHMTNLFchk7mmmRV3hHK7cX4H,167240721,1671207257,0,9XVMaWDvJGEmqL5XRuF77apEBh296tchpemGUD7u4Edk,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,6vwN88m6DeUmS3wVZyrmTaABEC8og95UvCbWby5gccHi,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,HoVd7g9VJPF59CvjGwoYPqzFeCtGmVeqozfrnbVELvk1,1
TRANSFER,46CeEBmXMn3QkSyTcdKpaXBuxAVKQQ3sR9tfG7NPfvvvsvKRwennK6WSPqTvG3aB1CWfZZGtqVxtZxGgnRtFUrav,167240279,1671207064,0,4drfTH5iJoX9gnnkT4JXg8r1NXUErC6wszVdKdpZSovo,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,34z8AvdMs9gkxD4K5nWbxNFqYfFYEEqogXeYTbpp4S8v,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,EKJVEmLdsXJbwvEMQ6rjSs2QfkQcp1iCD4iPkVdAygcE,1
TRANSFER,4CbXLHKuGkp18C5JXJxfW7Hz3yfaaZaKnBrEoydrRTCGvfRd9HsLwuxT16GrMA7pFc5btgxqFnCzAChnZyfokkq,167240580,1671207196,0,3CKQgrcvwhvFqVXXxLTb1u262nh26SJ3uutkSCTtbZxH,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,AX1RXFH2MirozP4noqNeDWRVKVnz45PgxaYt7BNgYz1d,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,EE6BBUdM3VyhMY5jNQnv2zoqkmf5aC1uw26h36ggiBQQ,1205.771783147
TRANSFER,4dYJziXHLrwqAiQxo28rD9f4zhdGirm5LpYR6eRienH5RUGDZyz6XKjPggEArktCMQfF3CpbGuu5t7J8ADsyKdJN,167240132,1671206995,0,4CHXd5uSMb9qrLfQwvyHzDMiKmNKDP8Np23dAQWTKNEy,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,GD6rhNvPNhxXyWm4V8jLg5qHjXkPNHxwJyRLeAH2e1e3,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,FqVyBNVcHhCeWEXJVgijc2EiTxAkuBXnJkC3eA2wUCTF,70.5
TRANSFER,4EmyJ3eDCDVvpNq4Bs6GBt2HdgBmGjWosvJXj726gvVAXKeMDm9YTrxHoqz5pRUnGXXH29ViwDbggGftkPUf3mQK,167240488,1671207157,0,2waTkcBha4Y6TiMMrvUFzzMnessaqySVWdfXCrCLcS6e,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,5UGQeS87bei6jNvnzH4UvN9LzAyvnBcwbAF61oyNx1N6,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2TggTmjv34t5Yrm2sxVJiwnr6UAsqz3gtS8ap8fgjVJw,1
TRANSFER,4HdQeaFNA8StBtDjcvfumkmH7vVqGrRhcSmvdD6gh6qiJHsW7PDipY5tkoeMPFo1grj462i1SmHWtoC35eEKTeAs,167240201,1671207027,0,9WiyWP6trWdSMdKh4PrDZmpVyZyY9FQft4AugYSPuGg9,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,3eFu6BbkoaFRMxSMLxeJGrp6v9EeGFB8E9xHwARpUA14,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,6AU26hPy4aKD4A2jfS9E3hT1a6G3j4qoX9swUg6U58ei,1
TRANSFER,4LpdS3rBod5YHsYqZpSo3KfBnDVHBVMQJo24EyDVwyFjewfU8LzUz1mD5f9VS6NMJdor92d5YmETviFdNAdxwy1C,167241380,1671207560,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,F4bqfgTFsmhWPPHD117wTEHcbb3596ES9syQvUP3DTCQ,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,0.002578
TRANSFER,5AS2x9AobwUsMJRRN4TfW2yuUzxTUFpajUUfbAR2cFq9TvmThju67VWypdX5xY61GbMeYX5TtJPxZJ8HAoW84vaS,167408633,1671283136,0,FyKt59XjJRWm3gxiKygG6rEQyCkPtUCxscGJ2aNMKD8k,myYVvjgjytFyoKQW962Wsnc7yz3fJHHXLWuoWWRfbzE,AxnADNCtWSrS5qFPL7C8ZbaYo5Yj7kEB9Ks4ddDvGo9U,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,GtoLyQr6TrjykdecFXUcx9HuPzihiQc1epn29soptnzM,1
TRANSFER,5NK5VyxhRQj2L21ZPQ98Urpi1C1TU3AgNxcXj34VL2fwuwQJAvkPpK5xVNrU2pkziUGLNyTUfygBgUasfEchuZDP,167240248,1671207048,0,FqrUk9dvF7SXpSprTL6HLD3weyBZ1oGhFz3cJ2efGQ1g,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,GDesTGDR9MEDPQh4qQSKJqvnbbf3uLRfcxgA2jn7sS3e,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,EsroitP2gdv7T3NmfFvpncfJdxrtkBJrjEgnYxtyESHX,3
TRANSFER,5tDSXHMoM18rjABvR9BtDfVXCvotgwumyDExtj62tQzEcMDDTfHbPv5KAcHELzhHeu8PVXLfBRz4ttXSWGHZVvXp,167240313,1671207079,0,8PbdC8uzQQ9ysQd4fDMGJYZdLs754F7tUiWxRWg2pRyL,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,FFAVX1HsySNf4sqSERehDxdGpCgfPRN7jXubiyFC5UxS,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,5j4BRKCgVKC2k5tpzh8xPCE3Q6uqbhGYVpsn7LxQRXZX,1
TRANSFER,5w6oMcv1PNv1WAQTobkoVDJQDmq2Ux6ju53sadXj5f5Z4vaDJtQqVRY13JmBiUTa2Tj2zQtguKSmBVp5P2vdUrZK,167241855,1671207774,0,ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs,31pE3JZ4TJkJFxon6vaa2Xx6tYpkm8cvqicwGWqX5P55,EwGgSEA4Ni5KKPDXJTKZEhbQSbyidoiwq6Ctmavdqsb1,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,4F3qwQVy13Uf1S3SPNrR7CCXNpbvh8in2qfVLgj8RogJ,0.123456
TRANSFER,BDNjdRs3M23hgXb4qk18acjNaJsHR9oEVXfPZA71NWFrQ7XphzzviEtyycomGGemTAvJFMczh8tCzmhQF3Mnsx6,167241101,1671207435,0,HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,2x99xoJD7NUZedq5mozPRN5xmpFBgnY57daY1g6X3nUk,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,32vg66gywPJiLNvbPVazftrPgKmAJDZwUSokooeNZYAT,0.000014
TRANSFER,gETQka1viCkrJvX1gGF33zgDns6KWRLtCvqinJXxEcPdiKefQVxddxmUBZgyDSShDSMwtJHdzRk6s1H6E1eSi6d,167241402,1671207569,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,F4bqfgTFsmhWPPHD117wTEHcbb3596ES9syQvUP3DTCQ,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,0.002578
TRANSFER,PHfxMzeEg4Dxo5vGGTxQ8YXiycbfhpr3oFRzJTZtY69d7EW2rDWLNqsm9RqCKh8eeoNEYchNQF21YGnx8UzK7Mg,167241731,1671207715,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,F4bqfgTFsmhWPPHD117wTEHcbb3596ES9syQvUP3DTCQ,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,0.00001
TRANSFER,qKFKzSkG5PEBDudCbBAsfsqTbND2ywgeRbMBBjPjuDizGMSGk2RUPFC1uP5RkgYG2zp8WocLkXgFq5KSrqyGoEE,167241356,1671207550,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,F4bqfgTFsmhWPPHD117wTEHcbb3596ES9syQvUP3DTCQ,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,0.002578
TRANSFER,TwUgAvMjzyNGpTiAN9ewsRiqXJkH2Lyf1BitEentGuNJ1zoRHYxVuLsdyfrxSyiZTYGsnY5RzBf6HxJ4GWygYS5,167241438,1671207585,0,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,yL2THEpVrbvG14QgNbZSM8y62wRp3ZJSnsh5wN9BH5J,F4bqfgTFsmhWPPHD117wTEHcbb3596ES9syQvUP3DTCQ,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,0.002
UNKNOWN,1BQQepz9JiTkmbCrpqFjFTaTPNrHA3zUaJA43BsadxkPHALb44728a1xzMiAEPUYdY7N47Ya9dW5DhPqMAcwNg6,167216867,1671196268,0,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,3wqhzSB9avepM9xMteiZnbJw75zmTBDVmPFLTQAGcSMN,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,Ho4DTFi1pVTsjnEoYLd6hC2ffragyix66nJh9XCPgHjD,7450.831406
UNKNOWN,1BQQepz9JiTkmbCrpqFjFTaTPNrHA3zUaJA43BsadxkPHALb44728a1xzMiAEPUYdY7N47Ya9dW5DhPqMAcwNg6,167216867,1671196268,1,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,5GtSbKJEPaoumrDzNj4kGkgZtfDyUceKaHrPziazALC1,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,6DNWLtUSpc55PmLefUo5CHYoq89Ujd1N2sGjvMDGrVDV,1298.471191
UNKNOWN,1hGMgBGpWii871WqVQQBcaKqZKePm3QMHraueuSBwVyETiWkgxSr1kChKrkfvzCyKH4ADZA8RaVyWy1eWVRCend,167208793,1671192663,0,So11111111111111111111111111111111111111112,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,DQyrAcCrDXQ7NeoqGgDCZwBvWDcYmFCjSb9JtteuvPpz,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,ARdLWiH5sztM3CWqu9PTyTbRqvb6MCVhZYzhC7vHHwPC,419.124478964
UNKNOWN,1hGMgBGpWii871WqVQQBcaKqZKePm3QMHraueuSBwVyETiWkgxSr1kChKrkfvzCyKH4ADZA8RaVyWy1eWVRCend,167208793,1671192663,1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,HLmqeL62xR1QoZ1HKKbXRrdN1p3phKpxRMb2VVopvBBz,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,5619.656736
UNKNOWN,1Jmj6gUmqx2rkggGvrnZDB1fVA1j2RKepVQyvE4ztwWHsMvpDKm55XZ2qRidYtG22sri5T3MvThssmaU3zGohHG,167216682,1671196176,0,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,3wqhzSB9avepM9xMteiZnbJw75zmTBDVmPFLTQAGcSMN,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,Ho4DTFi1pVTsjnEoYLd6hC2ffragyix66nJh9XCPgHjD,7450.831406
UNKNOWN,1Jmj6gUmqx2rkggGvrnZDB1fVA1j2RKepVQyvE4ztwWHsMvpDKm55XZ2qRidYtG22sri5T3MvThssmaU3zGohHG,167216682,1671196176,1,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,5GtSbKJEPaoumrDzNj4kGkgZtfDyUceKaHrPziazALC1,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,6DNWLtUSpc55PmLefUo5CHYoq89Ujd1N2sGjvMDGrVDV,1298.471191
UNKNOWN,21bTdbcfvFB3JxjFSdyGSDPKjbYenhhZGWTM1MdjmsFE52uEoivhcYHEh1ktgwUB8rFiaaiYJyD4HReha26GMNcp,167214501,1671195204,0,So11111111111111111111111111111111111111112,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,DQyrAcCrDXQ7NeoqGgDCZwBvWDcYmFCjSb9JtteuvPpz,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,ARdLWiH5sztM3CWqu9PTyTbRqvb6MCVhZYzhC7vHHwPC,298.091551103
UNKNOWN,21bTdbcfvFB3JxjFSdyGSDPKjbYenhhZGWTM1MdjmsFE52uEoivhcYHEh1ktgwUB8rFiaaiYJyD4HReha26GMNcp,167214501,1671195204,1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,HLmqeL62xR1QoZ1HKKbXRrdN1p3phKpxRMb2VVopvBBz,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,2EonRVyLzLHpHp8mX7sU5HNPamEaSgSKwuDk4N5r9QcJ,3990.260104
UNKNOWN,21hwqshysBGLYvZBWe4VS9SWaUBbS8Shtf1dWxFopAoWAcEGKn7KQ8j7pei1bHhRtYazAbxksJUZkMtvGFZR9dFK,167222242,1671198694,0,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,3wqhzSB9avepM9xMteiZnbJw75zmTBDVmPFLTQAGcSMN,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,Ho4DTFi1pVTsjnEoYLd6hC2ffragyix66nJh9XCPgHjD,7072.664269
UNKNOWN,21hwqshysBGLYvZBWe4VS9SWaUBbS8Shtf1dWxFopAoWAcEGKn7KQ8j7pei1bHhRtYazAbxksJUZkMtvGFZR9dFK,167222242,1671198694,1,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,5GtSbKJEPaoumrDzNj4kGkgZtfDyUceKaHrPziazALC1,AgJddDJLt17nHyXDCpyGELxwsZZQPqfUsuwzoiqVGJwD,6DNWLtUSpc55PmLefUo5CHYoq89Ujd1N2sGjvMDGrVDV,1235.39925
