"authority","source","ownerTo","destination","label","label (right)","symbol","Sum(uiAmount)","Sum(amount)"
"0","8cwUKaSLCeQB7jbmjci9hgTxiJQMSc7TaHp4u7yLCWKv","G2YxRa6wt1qePMwfJzdXZG62ej4qaTC7YURzuh2Lwd3t","8NRkWie3P5Gpm2pgCMs7afEjQppscqV3p4tZr9VwdvEZ",,"ray hack origin (addr0)",,1,1
"13b9nU9H8LB1YnydxRRA5NEW13KrcS4jRUaaHmdshoRE","EKpedTuNvadL5xyZLhHJaDkPW1M8w7Qu9UcxfqJX3iZD","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",279.591858,279591858
"13cFdzP2y6Vr9WkkKavKYWwDXyiAYhrDvor5tgBB4EY9","5WXTXy2Sgni3L3RBNcDkvkXAPwdABSVuxc2FErkSJCqd","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",2983.938369,2983938369
"14DNDAZWSQsR5qjNQgJA2zNYEFSfi3pu5LjpgX9uEbcM","8wtQQi52oJ4ocXixfi6T7tvMQPKrUTkQmpTKAi31nFsK","0","8pdjd4AgLrCiJXDXoaB8SBXvfM2g6VJLrtxH9g2Q126d",,,"USDT",6.73265,6732650
"14DNDAZWSQsR5qjNQgJA2zNYEFSfi3pu5LjpgX9uEbcM","8wtQQi52oJ4ocXixfi6T7tvMQPKrUTkQmpTKAi31nFsK","5ndLnEYqSFiA5yUFHo6LVZ1eWc6Rhh11K5CfJNkoHEPs","8pdjd4AgLrCiJXDXoaB8SBXvfM2g6VJLrtxH9g2Q126d",,"ray hack funder (addr4)","USDT",6.73265,6732650
"14HqnGQWUaCcMexydZi4pznGjVwFxtFjhusu3TPfYgG1","4CdqCmSmfugDwGfNWSvaosJYbUjpzkx8JKZEFfnDDYYn","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","AmE37kFyx3AM4hmpFVTiycN6NqKdiXWAVK4xWx6BAvz8",,,"USDC",25,25000000
"14m64ETFfK257dFqesufWPRgkLikBHgtQ1jgkG8GePjc","sTTMgCyMAd5aTsZGbzaufmy8WuRWjHBqcEqGqUnetNd","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",43,43000000
"14s3yn8NYn3DwU2uzZoF6YXBtzUPQWTQJdzmJ3urGQb3","FzSRpqnpd3D7k7YxR8D1DgeLi8NHttEz1wWUz1Mm5oud","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",40,40000000
"1YT95VPHrgHTAqNwSAnugsweVZnbVMP34TDULeR6MUL","FGEm9YbAdvs7JjNCyGPvyqZhR7fvTuYHQFAuwBAz3QYy","8YYxKnDZZz2NDuZ7Pvx7fYoWQpwJke3L1cNS59v5kKTV","8Df21DUx1UZiMXAoGNPdfsmRkzSv65UpLPqgQCzLHErE",,,"SRM",21193.940148,21193940148
"1gVDpYyheQt4z5FaSZitzHng9KWjFm4ddJaEckXRzPF","BeDvgkaZ8uP9WBM2RUGaQsHavHhB31kPFgAS3hDx7gbp","2jwP4cuugAAYiGMjVuqvwaRS2Axe6H6GvXv3PxMPQNeC","LQUhQpZd3rgwPj8WRcEsXpayLCA4Zf2R8KpB6U3V3vc",,,"USDT",1792.795344,1792795344
